Closed Time,Created Time,Department,Ticket Id,Due by Time,First Response Time (in Hrs),First Response Status,Group,Impact,Priority,Requester Email,Resolution Status,Resolution Time (in Hrs),Agent,Type,Urgency
2022-01-03 08:00:26,2022-01-01 00:01:29,Information Technology Services,85400,2022-01-19 08:00:28,00:00:00,,SD - FT - Employee Hardware Support,Low,Low,3761,Within SLA,00:00:26,7274,Incident,Low
2022-01-03 07:59:21,2022-01-01 03:39:51,,85401,2022-01-18 17:00:00,00:00:00,,System Inbox (Waiting to be Assigned),Low,Low,6242,Within SLA,00:00:00,7107,Incident,Low
2022-01-03 07:59:21,2022-01-01 03:42:29,,85402,2022-01-18 17:00:00,00:00:00,,System Inbox (Waiting to be Assigned),Low,Low,6242,Within SLA,00:00:00,7107,Incident,Low
2022-01-04 11:35:27,2022-01-01 08:13:00,,85403,2022-01-20 08:30:27,00:00:00,,SD - FT - Student Escalation,Low,Low,8227,Within SLA,03:05:34,7107,Incident,Low
2022-01-03 07:59:21,2022-01-02 01:05:14,,85404,2022-01-18 17:00:00,00:00:00,,System Inbox (Waiting to be Assigned),Low,Low,6242,Within SLA,00:00:00,7107,Incident,Low
2022-01-03 08:00:06,2022-01-03 00:01:20,Information Technology Services,85405,2022-01-19 08:00:08,00:00:00,,SD - FT - Employee Hardware Support,Low,Low,3761,Within SLA,00:00:06,7274,Incident,Low
2022-01-03 07:59:21,2022-01-03 03:26:11,,85406,2022-01-18 17:00:00,00:00:00,,System Inbox (Waiting to be Assigned),Low,Low,6242,Within SLA,00:00:00,7107,Incident,Low
2022-01-03 04:30:19,2022-01-03 04:30:18,,85407,2022-02-14 17:00:00,00:00:00,,NT - General,Medium,Low,7401,Within SLA,00:00:00,3588,Incident,Low
2022-01-03 06:30:51,2022-01-03 06:30:50,,85408,2022-02-14 17:00:00,00:00:00,,NT - General,Medium,Low,7401,Within SLA,00:00:00,3588,Incident,Low
2022-01-03 17:35:05,2022-01-03 07:59:31,Information Technology Services,85409,2022-01-05 12:01:00,00:00:00,,NT - General,Medium,High,2101,Within SLA,04:59:43,2168,Incident,High
2022-01-03 08:08:51,2022-01-03 08:07:16,Information Technology Services,85410,2022-01-19 08:07:44,00:00:00,,SD - FT - Technician Assistants,Low,Low,3761,Within SLA,00:01:35,7274,Service Request,Low
2022-01-03 08:08:18,2022-01-03 08:07:28,Information Technology Services,85411,2022-01-19 08:08:15,00:00:00,,SD - FT - Technician Assistants,Low,Low,3761,Within SLA,00:00:50,7274,Service Request,Low
2022-01-03 08:09:20,2022-01-03 08:07:49,,85412,2022-01-19 08:07:50,00:00:00,,SD - FT - Technician Assistants,Low,Low,7885,Within SLA,00:01:31,7274,Service Request,Low
2022-01-04 09:34:41,2022-01-03 08:17:44,,85413,2022-01-20 08:43:41,00:00:00,,SD - FT - Employee Software Support,Low,Low,6183,Within SLA,00:51:55,7107,Incident,Low
2022-03-26 09:35:05,2022-01-03 08:38:29,Registrar,85414,2022-01-07 08:38:29,01:11:21,Within SLA,SD - FT - Employee Software Support,Low,High,5548,SLA Violated,531:55:08,7274,Incident,Low
2022-01-04 11:35:28,2022-01-03 08:40:00,Information Technology Services,85415,2023-06-06 08:53:27,00:39:13,Within SLA,AD - CampusVue,Low,Low,6617,Within SLA,02:42:27,2741,Incident,Low
2022-01-06 09:35:03,2022-01-03 09:28:11,,85416,2022-02-16 11:24:03,00:09:13,Within SLA,NT - General,Medium,Low,7893,Within SLA,16:11:14,7107,Incident,Low
2022-01-14 13:35:20,2022-01-03 10:17:00,Facilities,85417,2022-01-12 10:17:00,13:24:55,Within SLA,SD - FT - Employee Software Support,Medium,Medium,4560,SLA Violated,75:09:17,7274,Incident,Low
2022-01-03 10:30:12,2022-01-03 10:30:12,,85418,2022-02-15 10:30:12,00:00:00,,NT - General,Medium,Low,7401,Within SLA,00:00:00,3588,Incident,Low
2022-01-07 08:35:17,2022-01-03 12:06:04,,85419,2022-01-24 16:15:17,01:11:44,Within SLA,SD - SS - Student Support,Low,Low,4828,Within SLA,01:20:47,7107,Incident,Low
2022-01-03 13:12:39,2022-01-03 12:25:56,,85420,2022-01-19 12:25:57,02:29:23,Within SLA,System Inbox (Waiting to be Assigned),Low,Low,4188,Within SLA,00:46:43,7107,Incident,Low
2022-01-03 13:18:04,2022-01-03 12:30:07,Adult Professional Studies,85421,2022-01-19 12:30:26,00:47:41,Within SLA,SD - SS - Student Support,Low,Low,1231,Within SLA,00:47:57,7107,Incident,Low
2022-01-03 12:30:12,2022-01-03 12:30:11,,85422,2022-02-15 12:30:12,00:00:00,,NT - General,Medium,Low,7401,Within SLA,00:00:01,3588,Incident,Low
2022-04-01 17:34:41,2022-01-03 12:43:29,Institutional Research and Effectiveness,85423,2022-01-07 12:43:29,310:32:34,SLA Violated,SD - FT - Employee Software Support,Low,High,6236,SLA Violated,562:16:31,7274,Incident,Low
2022-02-03 16:35:00,2022-01-03 13:38:33,Academic Affairs,85424,2022-01-07 13:38:33,190:38:56,SLA Violated,SD - FT - Employee Software Support,Low,High,7324,SLA Violated,191:39:50,7274,Incident,Low
2023-03-15 12:35:27,2022-01-03 14:29:57,Facilities,85425,2022-01-07 14:29:57,105:31:05,SLA Violated,SD - FT - Employee Software Support,Low,High,3044,SLA Violated,2696:30:27,7274,Incident,Low
2022-01-27 10:35:21,2022-01-03 14:34:22,Strategic Communications,85426,2022-01-07 14:34:22,01:49:25,Within SLA,SD - FT - Employee Lifecycle,Low,High,7642,SLA Violated,148:36:36,7107,Incident,Low
2022-01-04 16:34:37,2022-01-03 14:35:18,Human Resources,85427,2022-01-20 14:52:37,00:00:00,,SD - FT - Refunds and E-Texts,Low,Low,4050,Within SLA,01:42:47,7107,Incident,Low
2022-01-04 15:35:10,2022-01-03 14:44:31,Spiritual Life,85428,2022-01-20 15:28:09,00:00:00,,SD - ES - Event Support,Low,Low,8720,Within SLA,00:07:18,7107,Incident,Low
2022-01-12 15:34:29,2022-01-03 14:47:32,Communication and Theatre Arts,85429,2022-01-20 15:25:27,00:02:32,Within SLA,SD - FT - Card System (Transact),Low,Low,5026,Within SLA,54:09:26,7107,Incident,Low
2022-01-03 14:51:34,2022-01-03 14:47:41,Information Technology Services,85430,2022-01-19 14:48:26,00:00:00,,System Inbox (Waiting to be Assigned),Low,Low,3761,Within SLA,00:03:53,7107,Incident,Low
2022-01-07 12:34:59,2022-01-03 14:47:58,Facilities,85431,2022-02-18 16:10:58,05:24:19,Within SLA,NT - General,Medium,Low,3044,Within SLA,05:24:20,3588,Incident,Low
2022-01-03 14:52:09,2022-01-03 14:50:14,Information Technology Services,85432,2022-01-19 14:51:03,00:00:00,,System Inbox (Waiting to be Assigned),Low,Low,3761,Within SLA,00:01:55,7107,Incident,Low
2022-01-04 08:05:46,2022-01-03 14:51:00,Conference Services,85433,2022-01-19 14:51:00,00:04:19,Within SLA,System Inbox (Waiting to be Assigned),Low,Low,9479,Within SLA,02:14:46,7107,Incident,Low
2022-01-03 14:51:33,2022-01-03 14:51:32,,85434,2022-02-15 14:51:33,00:00:00,,NT - General,Medium,Low,7401,Within SLA,00:00:01,3588,Incident,Low
2022-01-13 13:23:19,2022-01-03 15:05:50,,85436,2022-01-12 15:06:00,00:23:15,Within SLA,SD - SS - Student Support,Low,Medium,4472,SLA Violated,70:17:29,7107,Incident,Low
2022-01-13 16:34:26,2022-01-03 15:28:55,Residence Life,85437,2022-01-12 15:28:55,39:25:02,SLA Violated,SD - FT - Employee Mobile Devices ,Low,Medium,1454,SLA Violated,63:07:57,7107,Incident,Low
2022-01-21 13:35:06,2022-01-03 16:05:00,Athletics,85438,2022-02-17 08:00:00,95:41:19,SLA Violated,NT - General,Medium,Low,9340,Within SLA,108:00:28,3588,Incident,Low
2022-01-05 11:34:30,2022-01-03 16:08:02,Information Technology Services,85439,2023-05-31 16:57:30,03:22:05,Within SLA,AD - General,Medium,Low,3761,Within SLA,03:37:10,5077,Incident,Low
2022-01-05 09:15:40,2022-01-03 16:23:02,Strategic Communications,85440,2023-05-30 16:23:16,00:00:00,,AD - General,Low,Low,7642,Within SLA,10:52:38,8674,Incident,Low
2022-01-27 09:35:16,2022-01-03 16:23:02,Strategic Communications,85441,2022-01-07 16:23:02,96:33:45,SLA Violated,SD - FT - Employee Hardware Support,Low,High,7642,SLA Violated,136:31:54,7274,Incident,Low
2022-02-12 10:34:50,2022-01-03 16:23:06,Strategic Communications,85442,2022-01-04 15:23:06,09:36:54,SLA Violated,NT - General,Medium,Urgent,7642,SLA Violated,43:46:08,3588,Incident,Low
2022-02-09 17:34:58,2022-01-03 16:45:47,Institutional Advancement and Development,85443,2022-01-07 16:45:47,00:19:55,Within SLA,SD - FT - Employee Hardware Support,Low,High,5212,SLA Violated,225:02:16,7107,Incident,Low
2022-04-06 12:35:23,2022-01-03 17:20:21,Residence Life,85444,2022-01-07 17:00:00,00:10:04,Within SLA,SD - FT - Employee Lifecycle,Low,High,2309,SLA Violated,579:41:52,7107,Incident,Low
2022-01-03 17:30:11,2022-01-03 17:30:10,,85445,2022-02-15 17:00:00,00:00:00,,NT - General,Medium,Low,7401,Within SLA,00:00:00,3588,Incident,Low
2022-01-04 06:30:53,2022-01-04 06:30:52,,85446,2022-02-15 17:00:00,00:00:00,,NT - General,Medium,Low,7401,Within SLA,00:00:00,3588,Incident,Low
