Closed Time,Created Time,Department,Ticket Id,Due by Time,First Response Time (in Hrs),First Response Status,Group,Impact,Priority,Requester Email,Resolution Status,Resolution Time (in Hrs),Agent,Type,Urgency
1/3/22 8:00,1/1/22 0:01,Information Technology Services,85400,1/19/22 8:00,0:00:00,,SD - FT - Employee Hardware Support,Low,Low,sampleemail1@gmail.com,Within SLA,0:00:26,Andrew Reynolds,Incident,Low
1/3/22 7:59,1/1/22 3:39,,85401,1/18/22 17:00,0:00:00,,System Inbox (Waiting to be Assigned),Low,Low,sampleemail2@gmail.com,Within SLA,0:00:00,Benjamin Smith,Incident,Low
1/3/22 7:59,1/1/22 3:42,,85402,1/18/22 17:00,0:00:00,,System Inbox (Waiting to be Assigned),Low,Low,sampleemail3@gmail.com,Within SLA,0:00:00,AJ Crew,Incident,Low
1/4/22 11:35,1/1/22 8:13,,85403,1/20/22 8:30,0:00:00,,SD - FT - Student Escalation,Low,Low,sampleemail4@gmail.com,Within SLA,3:05:34,No Agent,Incident,Low
1/3/22 7:59,1/2/22 1:05,,85404,1/18/22 17:00,0:00:00,,System Inbox (Waiting to be Assigned),Low,Low,sampleemail1@gmail.com,Within SLA,0:00:00,No Agent,Incident,Low
1/3/22 8:00,1/3/22 0:01,Information Technology Services,85405,1/19/22 8:00,0:00:00,,SD - FT - Employee Hardware Support,Low,Low,sampleemail3@gmail.com,Within SLA,0:00:06,Benjamin Smith,Incident,Low
1/3/22 7:59,1/3/22 3:26,,85406,1/18/22 17:00,0:00:00,,System Inbox (Waiting to be Assigned),Low,Low,sampleemail5@gmail.com,Within SLA,0:00:00,Reagan Jones,Incident,Low
1/3/22 4:30,1/3/22 4:30,,85407,2/14/22 17:00,0:00:00,,NT - General,Medium,Low,beatsbeats@gmail.com,Within SLA,0:00:00,Juju Onthat Beat,Incident,Low
1/3/22 6:30,1/3/22 6:30,,85408,2/14/22 17:00,0:00:00,,NT - General,Medium,Low,sampleemail6@gmail.com,Within SLA,0:00:00,Andrew Reynolds,Incident,Low
1/3/22 17:35,1/3/22 7:59,Information Technology Services,85409,1/5/22 12:01,0:00:00,,NT - General,Medium,High,sampleemail4@gmail.com,Within SLA,4:59:43,Tabitha Payne,Incident,High
1/3/22 8:08,1/3/22 8:07,Information Technology Services,85410,1/19/22 8:07,0:00:00,,SD - FT - Technician Assistants,Low,Low,sampleemail7@gmail.com,Within SLA,0:01:35,Tabitha Payne,Service Request,Low
1/3/22 8:08,1/3/22 8:07,Information Technology Services,85411,1/19/22 8:08,0:00:00,,SD - FT - Technician Assistants,Low,Low,sampleemail8@gmail.com,Within SLA,0:00:50,Emelia Colton,Service Request,Low
1/3/22 8:09,1/3/22 8:07,,85412,1/19/22 8:07,0:00:00,,SD - FT - Technician Assistants,Low,Low,sampleemail3@gmail.com,Within SLA,0:01:31,Reagan Jones,Service Request,Low
1/4/22 9:34,1/3/22 8:17,,85413,1/20/22 8:43,0:00:00,,SD - FT - Employee Software Support,Low,Low,sampleemail6@gmail.com,Within SLA,0:51:55,No Agent,Incident,Low
3/26/22 9:35,1/3/22 8:38,Registrar,85414,1/7/22 8:38,1:11:21,Within SLA,SD - FT - Employee Software Support,Low,High,sampleemail1@gmail.com,SLA Violated,531:55:08,Reagan Jones,Incident,Low
1/4/22 11:35,1/3/22 8:40,Information Technology Services,85415,6/6/23 8:53,0:39:13,Within SLA,AD - CampusVue,Low,Low,sampleemail9@gmail.com,Within SLA,2:42:27,Benjamin Smith,Incident,Low
1/6/22 9:35,1/3/22 9:28,,85416,2/16/22 11:24,0:09:13,Within SLA,NT - General,Medium,Low,sampleemail9@gmail.com,Within SLA,16:11:14,No Agent,Incident,Low
1/14/22 13:35,1/3/22 10:17,Facilities,85417,1/12/22 10:17,13:24:55,Within SLA,SD - FT - Employee Software Support,Medium,Medium,sampleemail10@gmail.com,SLA Violated,75:09:17,AJ Crew,Incident,Low
1/3/22 10:30,1/3/22 10:30,,85418,2/15/22 10:30,0:00:00,,NT - General,Medium,Low,sampleemail3@gmail.com,Within SLA,0:00:00,AJ Crew,Incident,Low
1/7/22 8:35,1/3/22 12:06,,85419,1/24/22 16:15,1:11:44,Within SLA,SD - SS - Student Support,Low,Low,sampleemail5@gmail.com,Within SLA,1:20:47,No Agent,Incident,Low
1/3/22 13:12,1/3/22 12:25,,85420,1/19/22 12:25,2:29:23,Within SLA,System Inbox (Waiting to be Assigned),Low,Low,sampleemail11@gmail.com,Within SLA,0:46:43,No Agent,Incident,Low
1/3/22 13:18,1/3/22 12:30,Adult Professional Studies,85421,1/19/22 12:30,0:47:41,Within SLA,SD - SS - Student Support,Low,Low,sampleemail4@gmail.com,Within SLA,0:47:57,No Agent,Incident,Low
1/3/22 12:30,1/3/22 12:30,,85422,2/15/22 12:30,0:00:00,,NT - General,Medium,Low,sampleemail3@gmail.com,Within SLA,0:00:01,Andrew Reynolds,Incident,Low
4/1/22 17:34,1/3/22 12:43,Institutional Research and Effectiveness,85423,1/7/22 12:43,310:32:34,SLA Violated,SD - FT - Employee Software Support,Low,High,sampleemail7@gmail.com,SLA Violated,562:16:31,Benjamin Smith,Incident,Low
2/3/22 16:35,1/3/22 13:38,Academic Affairs,85424,1/7/22 13:38,190:38:56,SLA Violated,SD - FT - Employee Software Support,Low,High,sampleemail9@gmail.com,SLA Violated,191:39:50,Zachary Milton,Incident,Low
3/15/23 12:35,1/3/22 14:29,Facilities,85425,1/7/22 14:29,105:31:05,SLA Violated,SD - FT - Employee Software Support,Low,High,sampleemail11@gmail.com,SLA Violated,2696:30:27,Zachary Milton,Incident,Low
1/27/22 10:35,1/3/22 14:34,Strategic Communications,85426,1/7/22 14:34,1:49:25,Within SLA,SD - FT - Employee Lifecycle,Low,High,sampleemail12@gmail.com,SLA Violated,148:36:36,Reagan Jones,Incident,Low
1/4/22 16:34,1/3/22 14:35,Human Resources,85427,1/20/22 14:52,0:00:00,,SD - FT - Refunds and E-Texts,Low,Low,sampleemail12@gmail.com,Within SLA,1:42:47,Emelia Colton,Incident,Low
1/4/22 15:35,1/3/22 14:44,Spiritual Life,85428,1/20/22 15:28,0:00:00,,SD - ES - Event Support,Low,Low,sampleemail4@gmail.com,Within SLA,0:07:18,Emelia Colton,Incident,Low
1/12/22 15:34,1/3/22 14:47,Communication and Theatre Arts,85429,1/20/22 15:25,0:02:32,Within SLA,SD - FT - Card System (Transact),Low,Low,sampleemail2@gmail.com,Within SLA,54:09:26,No Agent,Incident,Low
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
